List,Story,TrialType,AudioLink,ProbeNumber,SectionNumber,LastLine,LineLength,AudioLength,LangContext,SwitchType,FillerCS,QuestionNumber,QuestionStimuli,Answer1,Answer2,Answer3,Answer4,Answer5,CorrectResponse,ICE,RelevantSentence1,RelevantSentence2,RelevantSentence3,InfoDistanceFromProbe,RelevantSection,RelSecLangContext,InfoContext,InfoLanguage
1,TS,listen,https://github.com/SherlCSPL/Sherlock-Holmes-CSPL-repository/blob/main/(Audio)%20EmCrCSVidSec12.m4a,11,12,248,23,77,CSstoryCSsection,CSnoun,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,TS,listen,https://github.com/SherlCSPL/Sherlock-Holmes-CSPL-repository/blob/main/AudioENG3StuSec13.m4a,12,13,267,19,57,CSstoryENGsection,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,TS,listen,https://github.com/SherlCSPL/Sherlock-Holmes-CSPL-repository/blob/main/3StuCSAudSec14.m4a,13,14,291,24,80,CSstoryCSsection,CSnoun,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,TS,listen,https://github.com/SherlCSPL/Sherlock-Holmes-CSPL-repository/blob/main/AudioENG3StuSec15.m4a,14,15,307,16,79,CSstoryENGsection,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,TS,listen,https://github.com/SherlCSPL/Sherlock-Holmes-CSPL-repository/blob/main/3StuCSAudSec16.m4a,15,16,328,21,88,CSstoryCSsection,CSnoun,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,TS,listen,https://github.com/SherlCSPL/Sherlock-Holmes-CSPL-repository/blob/main/3StuCSAudSec18.m4a,16,18,385,28,106,CSstoryENGsection,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,TS,listen,https://github.com/SherlCSPL/Sherlock-Holmes-CSPL-repository/blob/main/3StuCSAudSec19.m4a,17,19,408,23,85,CSstoryCSsection,CSnoun,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,TS,listen,https://github.com/SherlCSPL/Sherlock-Holmes-CSPL-repository/blob/main/AudioENG3StuSec20.m4a,18,20,434,26,106,CSstoryENGsection,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,TS,listen,https://github.com/SherlCSPL/Sherlock-Holmes-CSPL-repository/blob/main/AudioENG3StuSec21.m4a,19,21,447,13,81,CSstoryENGsection,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,TS,listen,https://github.com/SherlCSPL/Sherlock-Holmes-CSPL-repository/blob/main/3StuCSAudSec22.m4a,20,22,470,23,108,CSstoryCSsection,CSverb,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,TS,listen,https://github.com/SherlCSPL/Sherlock-Holmes-CSPL-repository/blob/main/3StuCSAudSec23.m4a,21,23,491,21,95,CSstoryCSsection,CSnoun,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,TS,listen,https://github.com/SherlCSPL/Sherlock-Holmes-CSPL-repository/blob/main/AudioENG3StuSec24.m4a,22,24,503,12,73,CSstoryENGsection,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,TS,listen,https://github.com/SherlCSPL/Sherlock-Holmes-CSPL-repository/blob/main/3StuCSAudSec25.m4a,23,25,522,19,111,CSstoryCSsection,CSverb,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,TS,listen,https://github.com/SherlCSPL/Sherlock-Holmes-CSPL-repository/blob/main/AudioENG3StuSec26.m4a,24,26,531,9,19,CSstoryENGsection,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,TS,question,https://github.com/lsalig/ACS/blob/lsalig-audiofiles2/error.wav?raw=true,100,NA,NA,NA,NA,NA,NA,NA,1,"At the very beginning of the story, Watson explains that Sherlock was doing research at the university library. What was Sherlock researching?",The sleeping patterns of bears,The political history of ancient England,His family origins,Marine biology,I have no idea,B,0,8,NA,NA,1,1,CSstoryCSsection,CSstoryCSinfo,CSstoryCSinfo
1,TS,question,https://github.com/lsalig/ACS/blob/lsalig-audiofiles2/error.wav?raw=true,NA,NA,NA,NA,NA,NA,NA,NA,2,"Why doesnâ€™t Mr. Payton want to call the police, as Sherlock Holmes suggests?",He wants to avoid scandal,He doesn't think the incident was that big of a deal,He wants to see Sherlock use his detective skills,Sherlock never suggested he call the police,I have no idea,A,0,18,NA,NA,3,2,CSstoryENGsection,CSstoryCSinfo,CSstoryCSinfo
1,TS,question,https://github.com/lsalig/ACS/blob/lsalig-audiofiles2/error.wav?raw=true,NA,NA,NA,NA,NA,NA,NA,NA,3,What is the name of the scholarship that the students are competing for?,Upper Division Scholarship,Oxford Scholarship,Fortescue Scholarship,Charles Perfetti Scholarship,I have no idea,C,0,21,NA,NA,0,2,CSstoryENGsection,CSstoryCSinfo,CSstoryCSinfo
1,TS,question,https://github.com/lsalig/ACS/blob/lsalig-audiofiles2/error.wav?raw=true,NA,NA,NA,NA,NA,NA,NA,NA,4,What subject does Mr. Payton teach?,Greek,Math,Latin,English,I have no idea,A,0,23,NA,NA,8,3,CSstoryCSsection,CSstoryCSinfo,CSstoryCSinfo
1,TS,question,https://github.com/lsalig/ACS/blob/lsalig-audiofiles2/error.wav?raw=true,NA,NA,NA,NA,NA,NA,NA,NA,5,How long was Mr. Payton away from his room while he had tea with his friend?,4 hours,3 hours,2 hours,1 hour,I have no idea,D,0,32,NA,NA,0,3,CSstoryCSsection,CSstoryCSinfo,CSstoryCSinfo
1,TS,question,https://github.com/lsalig/ACS/blob/lsalig-audiofiles2/error.wav?raw=true,NA,NA,NA,NA,NA,NA,NA,NA,6,"When Mr. Payton first finds his papers scattered around the room, who does he think went through them?",Sherlock,Bannister,Holcomb,The printer,I have no idea,B,0,46,NA,NA,0,4,CSstoryCSsection,CSstoryCSinfo,CSstoryCSinfo
1,TS,question,https://github.com/lsalig/ACS/blob/lsalig-audiofiles2/error.wav?raw=true,NA,NA,NA,NA,NA,NA,NA,NA,7,What was the surface of Mr. Paytonâ€™s writing table made out of?,Marble,Snakeskin,Red leather,White leather,I have no idea,C,0,60,NA,NA,5,5,CSstoryENGsection,CSstoryCSinfo,CSstoryCSinfo
1,TS,question,https://github.com/lsalig/ACS/blob/lsalig-audiofiles2/error.wav?raw=true,NA,NA,NA,NA,NA,NA,NA,NA,8,Did Mr. Payton find any footprints when he went into his room?,"Yes, lots of them","Yes, two footprints","Yes, just one footprint",No,I have no idea,D,0,65,NA,NA,0,5,CSstoryENGsection,CSstoryCSinfo,CSstoryCSinfo
1,TS,question,https://github.com/lsalig/ACS/blob/lsalig-audiofiles2/error.wav?raw=true,NA,NA,NA,NA,NA,NA,NA,NA,9,Did anyone drop by Mr. Paytonâ€™s rooms while the examination papers were there?,"No, nobody dropped in","Yes, the athletic student","Yes, the troublesome student","Yes, the exchange student from India",I have no idea,D,0,75,NA,NA,9,6,CSstoryCSsection,CSstoryCSinfo,CSstoryCSinfo
1,TS,question,https://github.com/lsalig/ACS/blob/lsalig-audiofiles2/error.wav?raw=true,NA,NA,NA,NA,NA,NA,NA,NA,10,Why does Holmes think that the person who copied the exam saw the papers by accident?,Because the exam papers were not yet in his office during office hours,Because the exam papers were rolled up and hard to recognize during his office hours,Because the exam papers were locked up in a safe during office hours,Because nobody came by his office during office hours,I have no idea,B,0,96,NA,NA,18,7,CSstoryENGsection,CSstoryCSinfo,CSstoryCSinfo
1,TS,question,https://github.com/lsalig/ACS/blob/lsalig-audiofiles2/error.wav?raw=true,NA,NA,NA,NA,NA,NA,NA,NA,11,What does Holmes do when he first walks by the window leading to the teacherâ€™s room?,Tests the window latch,Pushes against the window glass,Stands on tiptoe to try to see inside,Tries to pry the window open,I have no idea,C,0,106,NA,NA,8,7,CSstoryENGsection,CSstoryCSinfo,CSstoryCSinfo
1,TS,question,https://github.com/lsalig/ACS/blob/lsalig-audiofiles2/error.wav?raw=true,NA,NA,NA,NA,NA,NA,NA,NA,12,"When he first inspects the Mr. Paytonâ€™s room, what does Holmes find on the carpet?",Crumbs,Footprints,A bit of snow,Nothing,I have no idea,D,0,113,NA,NA,1,7,CSstoryENGsection,CSstoryCSinfo,CSstoryCSinfo
1,TS,question,https://github.com/lsalig/ACS/blob/lsalig-audiofiles2/error.wav?raw=true,NA,NA,NA,NA,NA,NA,NA,NA,100,"For this question, please select the letter B (Watson) as your answer. This is to check that you are engaged in the study task.",Sherlock,Watson,Wilson,Bannister,I have no idea,B,0,NA,NA,NA,NA,NA,NA,NA,NA
1,TS,question,https://github.com/lsalig/ACS/blob/lsalig-audiofiles2/error.wav?raw=true,NA,NA,NA,NA,NA,NA,NA,NA,13,Why wouldnâ€™t the culprit have been able to see Mr. Payton coming back across the courtyard?,Because he came back through the side door,Because he came back down the stone staircase,Because he came back when it was dark outside,There was no courtyard,I have no idea,A,0,126,NA,NA,12,8,CSstoryENGsection,CSstoryENGinfo,CSstoryENGinfo
1,TS,question,https://github.com/lsalig/ACS/blob/lsalig-audiofiles2/error.wav?raw=true,NA,NA,NA,NA,NA,NA,NA,NA,14,How many of the three papers did the culprit manage to copy before escaping? ,They didnâ€™t copy any of the pages,They copied the first page and part of the second page,They copied and first and second pages,They copied all three pages,I have no idea,B,0,135,NA,NA,3,8,CSstoryENGsection,CSstoryENGinfo,CSstoryENGinfo
1,TS,question,https://github.com/lsalig/ACS/blob/lsalig-audiofiles2/error.wav?raw=true,NA,NA,NA,NA,NA,NA,NA,NA,15,"What does Holmes ask Mr. Payton if he heard, when he first got back to his room after tea?",The sound of the doorbell,The sound of someone climbing out the window,The sound of footsteps running up the stone staircase,The sound of the exam being copied down quickly,I have no idea,C,0,137,NA,NA,1,8,CSstoryENGsection,CSstoryENGinfo,CSstoryENGinfo
1,TS,question,https://github.com/lsalig/ACS/blob/lsalig-audiofiles2/error.wav?raw=true,NA,NA,NA,NA,NA,NA,NA,NA,16,Where was the person who was copying the papers when Mr. Payton and Bannister discovered that someone had been copying them?,In the library,Safely back at home,Still there in the teacher's rooms,Still there in the dining hall,I have no idea,C,0,188,NA,NA,1,10,CSstoryENGsection,CSstoryENGinfo,CSstoryENGinfo
1,TS,question,https://github.com/lsalig/ACS/blob/lsalig-audiofiles2/error.wav?raw=true,NA,NA,NA,NA,NA,NA,NA,NA,17,What is the exchange studentâ€™s weakest subject?,Greek,French,Geometry,History,I have no idea,A,0,216,NA,NA,9,11,CSstoryENGsection,CSstoryENGinfo,CSstoryENGinfo
1,TS,question,https://github.com/lsalig/ACS/blob/lsalig-audiofiles2/error.wav?raw=true,NA,NA,NA,NA,NA,NA,NA,NA,18,Why was one of the students almost expelled in his first year?,Because of an embezzlement scandal,Because of a gambling scandal,Because of a vandalism scandal,Because of a robbery scandal,I have no idea,B,0,221,NA,NA,4,11,CSstoryENGsection,CSstoryENGinfo,CSstoryENGinfo
1,TS,question,https://github.com/lsalig/ACS/blob/lsalig-audiofiles2/error.wav?raw=true,NA,NA,NA,NA,NA,NA,NA,NA,19,Which student does Mr. Payton tell Holmes he suspects?,Wilson,Rudra Ras,Miles McLaren,Bannister,I have no idea,C,0,225,223,NA,0,11,CSstoryENGsection,CSstoryENGinfo,CSstoryENGinfo
1,TS,question,https://github.com/lsalig/ACS/blob/lsalig-audiofiles2/error.wav?raw=true,NA,NA,NA,NA,NA,NA,NA,NA,20,How old is Bannister?,20,30,40,50,I have no idea,D,0,228,NA,NA,20,12,CSstoryCSsection,CSstoryENGinfo,CSstoryENGinfo
1,TS,question,https://github.com/lsalig/ACS/blob/lsalig-audiofiles2/error.wav?raw=true,NA,NA,NA,NA,NA,NA,NA,NA,21,Why does Bannister say that he left the key in the door?,He always leaves the key in the door,He was startled by a loud noise and went to investigate,His hands were full because he was delivering the papers,His hands were full because he was holding the tea tray,I have no idea,D,0,246,NA,NA,2,12,CSstoryCSsection,CSstoryENGinfo,CSstoryENGinfo
1,TS,question,https://github.com/lsalig/ACS/blob/lsalig-audiofiles2/error.wav?raw=true,NA,NA,NA,NA,NA,NA,NA,NA,22,Which chair did Bannister sit in when he was about to faint?,The rocking chair in the bedroom,The sofa in the bedroom,The chair by the window,The chair at the writing table,I have no idea,C,0,264,NA,NA,3,13,CSstoryENGsection,CSstoryENGinfo,CSstoryENGinfo
1,TS,question,https://github.com/lsalig/ACS/blob/lsalig-audiofiles2/error.wav?raw=true,NA,NA,NA,NA,NA,NA,NA,NA,23,Which student does Bannister tell Holmes he suspects?,Wilson,Rudra Ras,Miles McLaren,He doesn't think anyone in the university would have done it,I have no idea,D,0,275,NA,NA,16,14,CSstoryCSsection,CSstoryENGinfo,CSstoryENGinfo
1,TS,question,https://github.com/lsalig/ACS/blob/lsalig-audiofiles2/error.wav?raw=true,NA,NA,NA,NA,NA,NA,NA,NA,24,Which student was pacing back and forth in his room?,Wilson,Rudra Ras,Miles McLaren,Bannister,I have no idea,B,0,291,290,NA,0,14,CSstoryCSsection,CSstoryENGinfo,CSstoryENGinfo
1,TS,question,https://github.com/lsalig/ACS/blob/lsalig-audiofiles2/error.wav?raw=true,NA,NA,NA,NA,NA,NA,NA,NA,25,Why wasnâ€™t it strange that Holmes went to have a look at the studentsâ€™ rooms?,"They were the oldest rooms in the college, and tourists often visited them","They were often inspected, and Holmes could pretend to be the inspector",They were part of an open hall that was easy to walk through,It actually was not possible for Holmes to have a look at the rooms,I have no idea,A,0,295,NA,NA,12,15,CSstoryENGsection,CSstoryENGinfo,CSstoryENGinfo
1,TS,question,https://github.com/lsalig/ACS/blob/lsalig-audiofiles2/error.wav?raw=true,NA,NA,NA,NA,NA,NA,NA,NA,26,What did Holmes do when he visited the first two students?,"He started writing, ran out of ink, and asked to borrow some","He started sketching, broke his pencil, and asked to borrow one","He started talking, bumped into a sculpture, and checked behind it","He started talking, bumped into a lamp, and checked behind it",I have no idea,B,0,301,NA,NA,6,15,CSstoryENGsection,CSstoryENGinfo,CSstoryENGinfo
1,TS,question,https://github.com/lsalig/ACS/blob/lsalig-audiofiles2/error.wav?raw=true,NA,NA,NA,NA,NA,NA,NA,NA,27,Which student wouldnâ€™t let Sherlock Holmes and Watson into his room?,Wilson,Rudra Ras,Miles McLaren,Bannister,I have no idea,C,0,306,304,NA,1,15,CSstoryENGsection,CSstoryENGinfo,CSstoryENGinfo
1,TS,question,https://github.com/lsalig/ACS/blob/lsalig-audiofiles2/error.wav?raw=true,NA,NA,NA,NA,NA,NA,NA,NA,28,Who is the tallest of the three students?,Wilson,Rudra Ras,Miles McLaren,Bannister,I have no idea,A,1,312,NA,NA,16,16,CSstoryCSsection,CSstoryENGinfo,CSstoryENGinfo
1,TS,question,https://github.com/lsalig/ACS/blob/lsalig-audiofiles2/error.wav?raw=true,NA,NA,NA,NA,NA,NA,NA,NA,29,What does Holmes take with him when he leaves Mr. Payton for the night?,The footprint sketch and writing table cover,The carpet samples and sawdust,The exam papers and the answer key,The black clay and pencil cuttings,I have no idea,D,0,328,NA,NA,0,16,CSstoryCSsection,CSstoryENGinfo,CSstoryENGinfo
1,TS,question,https://github.com/lsalig/ACS/blob/lsalig-audiofiles2/error.wav?raw=true,NA,NA,NA,NA,NA,NA,NA,NA,30,How many high quality school supply stores were there in the town?,1,2,3,4,I have no idea,D,0,358,NA,NA,27,18,CSstoryENGsection,CSstoryENGinfo,CSstoryENGinfo
1,TS,question,https://github.com/lsalig/ACS/blob/lsalig-audiofiles2/error.wav?raw=true,NA,NA,NA,NA,NA,NA,NA,NA,31,Holmes says he got up at a â€œridiculously early hourâ€ to go find a clue. What time was that?,4am,5am,6am,7am,I have no idea,C,0,377,NA,NA,8,18,CSstoryENGsection,CSstoryENGinfo,CSstoryENGinfo
1,TS,question,https://github.com/lsalig/ACS/blob/lsalig-audiofiles2/error.wav?raw=true,NA,NA,NA,NA,NA,NA,NA,NA,32,What did Holmes get up in the morning to go find?,The missing writing table cover,More black clay,More carpet samples,The exam papers and answer key,I have no idea,B,0,381,NA,NA,4,18,CSstoryENGsection,CSstoryENGinfo,CSstoryENGinfo
1,TS,question,https://github.com/lsalig/ACS/blob/lsalig-audiofiles2/error.wav?raw=true,NA,NA,NA,NA,NA,NA,NA,NA,33,"When Holmes sits down with Professor Payton and Watson in order to look official, where does Holmes himself sit?",On the left,On the right,In the middle,He stands,I have no idea,C,0,402,NA,NA,6,19,CSstoryCSsection,CSstoryENGinfo,CSstoryENGinfo
1,TS,question,https://github.com/lsalig/ACS/blob/lsalig-audiofiles2/error.wav?raw=true,NA,NA,NA,NA,NA,NA,NA,NA,34,"When Holmes sits down with Professor Payton and Watson in order to look official, who is it he first wants to question?",Wilson,Rudra Ras,Miles McLaren,Bannister,I have no idea,D,0,406,NA,NA,2,19,CSstoryCSsection,CSstoryENGinfo,CSstoryENGinfo
1,TS,question,https://github.com/lsalig/ACS/blob/lsalig-audiofiles2/error.wav?raw=true,NA,NA,NA,NA,NA,NA,NA,NA,35,Which student is it that Holmes wants to question towards the end of the story?,Wilson,Rudra Ras,Miles McLaren,Bannister,I have no idea,A,1,431,NA,NA,3,20,CSstoryENGsection,CSstoryENGinfo,CSstoryENGinfo
1,TS,question,https://github.com/lsalig/ACS/blob/lsalig-audiofiles2/error.wav?raw=true,NA,NA,NA,NA,NA,NA,NA,NA,36,What does the culprit do when Holmes tells him that they know he is guilty?,Attacks Holmes,Breaks down crying,Runs out the door,Starts throwing things,I have no idea,B,1,447,NA,NA,0,21,CSstoryENGsection,CSstoryENGinfo,CSstoryENGinfo
1,TS,question,https://github.com/lsalig/ACS/blob/lsalig-audiofiles2/error.wav?raw=true,NA,NA,NA,NA,NA,NA,NA,NA,37,How tall is Sherlock Holmes?,"5 feet, 5 inches",6 feet,"6 feet, 5 inches",The story doesn't say,I have no idea,B,1,468,NA,NA,2,22,CSstoryCSsection,CSstoryENGinfo,CSstoryENGinfo
1,TS,question,https://github.com/lsalig/ACS/blob/lsalig-audiofiles2/error.wav?raw=true,NA,NA,NA,NA,NA,NA,NA,NA,38,"Sherlock explains how he looked through the window, to see if it would be possible for someone walking by to see that the examination papers were on the desk.  What does he say this told him to look for when solving the case?",A student with a limp,A student that was shorter than he is,A student that was taller than he is,The story doesn't say,I have no idea,C,1,470,467,NA,0,22,CSstoryCSsection,CSstoryENGinfo,CSstoryENGinfo
1,TS,question,https://github.com/lsalig/ACS/blob/lsalig-audiofiles2/error.wav?raw=true,NA,NA,NA,NA,NA,NA,NA,NA,39,"What did the culprit leave on the chair, that Bannister was trying to cover up?",His bookbag,His hat,His coat,His gloves,I have no idea,D,0,491,486,484,0,23,CSstoryCSsection,CSstoryENGinfo,CSstoryENGinfo
1,TS,question,https://github.com/lsalig/ACS/blob/lsalig-audiofiles2/error.wav?raw=true,NA,NA,NA,NA,NA,NA,NA,NA,40,Where did the black clay come from?,It was from the dirt where the coins were buried,It was from the dirt where the papers were buried,It fell off of one of the studentsâ€™ sculptures,It fell off of one of the studentsâ€™ track shoes,I have no idea,D,1,495,NA,NA,8,24,CSstoryENGsection,CSstoryENGinfo,CSstoryENGinfo
1,TS,question,https://github.com/lsalig/ACS/blob/lsalig-audiofiles2/error.wav?raw=true,NA,NA,NA,NA,NA,NA,NA,NA,41,Why doesnâ€™t the culprit take the examination?,He withdrew and will be leaving the country,He withdrew and will be enrolling at a different school,He was expelled immediately,He actually did take the examination in the end,I have no idea,A,0,503,NA,NA,0,24,CSstoryENGsection,CSstoryENGinfo,CSstoryENGinfo
1,TS,question,https://github.com/lsalig/ACS/blob/lsalig-audiofiles2/error.wav?raw=true,NA,NA,NA,NA,NA,NA,NA,NA,42,Why does Mr. Paytonâ€™s servant cover for the guilty student?,He was his father,He was his twin brother,He has known him since he was a boy,He actually did not cover for the culprit,I have no idea,C,0,521,520,NA,1,25,CSstoryCSsection,CSstoryENGinfo,CSstoryENGinfo
1,TS,question,https://github.com/lsalig/ACS/blob/lsalig-audiofiles2/error.wav?raw=true,NA,NA,NA,NA,NA,NA,NA,NA,43,Who turned out to be guilty of trying to copy the examination papers?,Wilson,Rudra Ras,Miles McLaren,Bannister,I have no idea,A,1,NA,NA,NA,NA,NA,NA,NA,NA
1,TS,question,https://github.com/lsalig/ACS/blob/lsalig-audiofiles2/error.wav?raw=true,NA,NA,NA,NA,NA,NA,NA,NA,44,Which student was the athlete?,Wilson,Rudra Ras,Miles McLaren,Bannister,I have no idea,A,1,NA,NA,NA,NA,NA,NA,NA,NA
1,EC,listen,https://github.com/SherlCSPL/Sherlock-Holmes-CSPL-repository/blob/main/EmCrENGVidSec1.mp4,25,1,19,19,102,ENGstoryENGsection,ENGverb,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,EC,listen,https://github.com/SherlCSPL/Sherlock-Holmes-CSPL-repository/blob/main/EmCrENGVidSec2.mp4,26,2,39,20,103,ENGstoryENGsection,ENGverb,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,EC,listen,https://github.com/SherlCSPL/Sherlock-Holmes-CSPL-repository/blob/main/EmCrENGVidSec4.mp4,27,4,70,21,131,ENGstoryENGsection,ENGnoun,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,EC,listen,https://github.com/SherlCSPL/Sherlock-Holmes-CSPL-repository/blob/main/EmCrENGVidSec6.mp4,28,6,100,17,97,ENGstoryENGsection,ENGnoun,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,EC,listen,https://github.com/SherlCSPL/Sherlock-Holmes-CSPL-repository/blob/main/EmCrENGVidSec7.mp4,29,7,116,16,82,ENGstoryENGsection,ENGnoun,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,EC,listen,https://github.com/SherlCSPL/Sherlock-Holmes-CSPL-repository/blob/main/EmCrENGVidSec8.mp4,30,8,128,12,88,ENGstoryENGsection,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,EC,listen,https://github.com/SherlCSPL/Sherlock-Holmes-CSPL-repository/blob/main/EmCrENGVidSec9.mp4,31,9,150,22,103,ENGstoryENGsection,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,EC,listen,https://github.com/SherlCSPL/Sherlock-Holmes-CSPL-repository/blob/main/EmCrENGVidSec10.mp4,32,10,173,23,118,ENGstoryENGsection,ENGnoun,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,EC,listen,https://github.com/SherlCSPL/Sherlock-Holmes-CSPL-repository/blob/main/EmCrENGVidSec11.mp4,33,11,203,30,118,ENGstoryENGsection,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,EC,listen,https://github.com/SherlCSPL/Sherlock-Holmes-CSPL-repository/blob/main/EmCrENGVidSec12.mp4,34,12,220,17,92,ENGstoryENGsection,ENGnoun,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,EC,listen,https://github.com/SherlCSPL/Sherlock-Holmes-CSPL-repository/blob/main/EmCrENGVidSec13.mp4,35,13,241,21,74,ENGstoryENGsection,ENGverb,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,EC,listen,https://github.com/SherlCSPL/Sherlock-Holmes-CSPL-repository/blob/main/EmCrENGVidSec14.mp4,36,14,271,30,157,ENGstoryENGsection,ENGverb,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
